ProductName,Price,Ratings,Reviews
Apple iPhone 6s series, Rs 29799, 4.586, 9021

Apple iPhone XR series, Rs 49900, 4.63, 286

Apple iPhone 6s series, Rs 29799, 4.586, 9021

Apple iPhone XR series, Rs 49900, 4.63, 286

Apple iPhone XS Max series, Rs 101990, 4.61, 125

Apple iPhone XR series, Rs 54900, 4.63, 286

Apple iPhone 8 series, Rs 47999, 4.62, 243

Apple iPhone XR series, Rs 54900, 4.63, 286

Apple iPhone 6s series, Rs 29799, 4.586, 9021

Apple iPhone XR series, Rs 54900, 4.63, 286

Apple iPhone 6 series, Rs 27999, 4.41, 16512

Apple iPhone XR series, Rs 54900, 4.63, 286

Apple iPhone 8 series, Rs 39900, 4.62, 243

Apple iPhone X series, Rs 69999, 4.68, 729

Apple iPhone X series, Rs 69999, 4.68, 729

Apple iPhone XR series, Rs 49900, 4.63, 286

Apple iPhone XR series, Rs 49900, 4.63, 286

Apple iPhone XR series, Rs 49900, 4.63, 286

Apple iPhone XR series, Rs 81900, 4.63, 286

Apple iPhone XR series, Rs 49900, 4.63, 286

Apple iPhone XS series, Rs 103900, 4.6800 Ratings , 104

Apple iPhone 8 Plus series, Rs 60990, 4.63, 351

Apple iPhone 8 series, Rs 64400, 4.62, 243

Apple iPhone 7 Plus series, Rs 63900, 4.68, 1344
